,end station latitude,end station longitude,count
161,40.71473993,-74.00910627,1
162,40.71534825,-73.96024116,3
163,40.715815500000005,-73.99422366,13
164,40.71605866,-73.99190759,2
165,40.716887,-73.96319799999999,1
166,40.7172274,-73.98802084,1
167,40.71745169,-73.95850939,1
168,40.71774592,-73.95600096,2
169,40.71850211,-73.98329859,1
170,40.7190095,-73.95852515,2
171,40.720367753000005,-73.9616507292,3
172,40.72066442,-73.98517977,1
173,40.72079821,-73.95484712,1
174,40.72110063,-73.99192540000001,1
175,40.7215224034,-73.948982656,1
176,40.72153267,-73.95782357,1
177,40.72179134,-73.95041540000001,1
178,40.722055,-73.989111,1
179,40.72229346,-73.99147535,2
180,40.72243797,-74.00566443,2
181,40.72311651,-73.95212324,1
182,40.72317958,-73.99480012,1
183,40.72368361,-73.97574813,1
184,40.72453734,-73.98185424,2
185,40.72467721,-73.98783413,2
186,40.72679454,-73.99695094,1
187,40.72710258,-74.00297088,1
188,40.7277140778,-74.0112957358,1
189,40.72917025,-73.99810231,1
190,40.72938685,-73.97772429,1
191,40.73047747,-73.99906065,1
192,40.73232194,-73.9550858,1
193,40.73261787,-73.99158043,2
194,40.73524276,-73.98758561,1
195,40.73704984,-73.99009296,1
196,40.74290902,-73.97706058,1
197,40.743,-73.93561,1
198,40.74394314,-73.97966069,1
199,40.746745000000004,-74.007756,1
200,40.74731,-73.95451,1
201,40.75466591,-73.99138152,1
202,40.76087502,-74.00277668,1
203,40.76269882,-73.99301222,3
