,EventID,Name,Start_Time
68,871502676289014,New York Islanders V San Jose Sharks,2016-10-18T19:00:00-0400
69,1747266412216939,New York Islanders V Anaheim Ducks (Magnetic Schedule & T-Shirt),2016-10-16T18:00:00-0400
70,301538996879606,TIDAL X 1015,2016-10-15T20:00:00-0400
71,520459514811998,Brooklyn Nets vs. Boston Celtics,2016-10-13T19:30:00-0400
72,969965803124470,Drake: Summer Sixteen Tour,2016-10-12T18:30:00-0400
73,777260675743032,Drake: Summer Sixteen Tour,2016-10-11T18:30:00-0400
74,1538444443131575,Juan Gabriel,2016-10-09T19:00:00-0400
75,343301122679550,Blake Shelton: Presented by Gildan®,2016-10-08T19:30:00-0400
76,507190799488253,Blake Shelton: Presented by Gildan®,2016-10-07T19:30:00-0400
77,185106671908721,Brooklyn Nets vs. Detroit Pistons,2016-10-06T19:30:00-0400
78,545154798974329,EROS RAMAZZOTTI WORLD TOUR 2016,2016-10-05T20:00:00-0400
79,1730020690604069,New York Islanders vs. New Jersey Devils,2016-10-03T19:00:00-0400
80,1106253022746487,New York Islanders vs. Philadelphia Flyers,2016-09-26T19:00:00-0400
81,1832759523616996,TORUK - The First Flight,2016-09-11T17:30:00-0400
82,740775066053468,TORUK - The First Flight,2016-09-11T13:30:00-0400
83,550877925078431,TORUK - The First Flight,2016-09-10T20:00:00-0400
84,925269840899541,TORUK - The First Flight,2016-09-10T16:00:00-0400
85,1007935965937125,TORUK - The First Flight,2016-09-09T19:30:00-0400
86,641870545916243,TORUK - The First Flight,2016-09-09T16:00:00-0400
87,782959035147743,TORUK - The First Flight,2016-09-08T19:30:00-0400
88,514025388776092,TORUK - The First Flight,2016-09-07T19:30:00-0400
89,1688822138046218,TFC Presents ASAP Live in NY,2016-09-03T17:00:00-0400
90,198766500522474,Prophets of Rage - Make America Rage Again Tour,2016-08-27T19:00:00-0400
91,700103523463612,WWE SummerSlam,2016-08-21T18:00:00-0400
92,1613606322288122,NXT TakeOver: Brooklyn II,2016-08-20T19:30:00-0400
93,1737517406508015,WWE Superstar Meet & Greet - Enzo & Cass,2016-08-19T15:30:00-0400
94,1400620016621016,WWE Superstar Meet & Greet - New Day,2016-08-19T15:30:00-0400
