,end station latitude,end station longitude,count
0,40.646768,-74.01651,1
1,40.6610633719,-73.9794525504,17
2,40.663779,-73.98396846,30
3,40.665146815300005,-73.9763760567,21
4,40.666207799999995,-73.98199886,28
5,40.666287,-73.98895053,35
6,40.666318100000005,-73.9854617,19
7,40.668127,-73.98377641,30
8,40.668132,-73.97363831,15
9,40.6685455,-73.99333264,8
10,40.668603000000004,-73.99043940000001,12
11,40.6686273,-73.98700053,19
12,40.668662700000006,-73.97988067,27
13,40.67038370000001,-73.97839676,40
14,40.670483600000004,-73.98208968,23
15,40.670492200000005,-73.98541675,24
16,40.6705135,-73.98876585,18
17,40.671197799999995,-73.97484126,28
18,40.6724811,-73.99331394,3
19,40.6726029815,-73.9898300171,14
20,40.672815500000006,-73.98352355,58
21,40.6729679,-73.97087984,9
22,40.6740886,-73.9787282,63
23,40.67434,-74.00194698,2
24,40.6746134225,-73.9850114286,1
25,40.67469570000001,-73.99785768,3
26,40.6747055,-74.00755720000001,2
27,40.6747844,-74.01612847,1
28,40.675020700000005,-73.97111473,21
29,40.675070500000004,-73.98775226,27
30,40.6751468387,-73.9752320945,24
31,40.6751622,-73.9814832,44
32,40.6753274,-74.0100698,3
33,40.6763744,-74.00324957,1
34,40.6763947,-73.99869893,9
35,40.6765304,-73.97846879,42
36,40.6769993,-74.00647134,1
37,40.677236,-74.015665,2
38,40.6772744,-73.98282002,51
39,40.6773429,-74.01275056,6
40,40.67761470000001,-73.97324283,36
41,40.6777287,-73.99364123,4
42,40.677774799999995,-74.0094613,3
43,40.6783563,-74.00014502,19
44,40.6786115,-73.99037292,18
45,40.678724200000005,-73.99599099,8
46,40.67890679,-73.94142771,16
47,40.679043,-74.011169,3
48,40.679097997199996,-73.98765474560001,12
49,40.67927879999999,-73.98154004,27
50,40.6793307,-73.97519523,26
51,40.6794268,-73.92989109999999,8
52,40.6795766,-73.97854971,37
53,40.6800105,-73.938475,1
54,40.6802133,-73.98432695,22
55,40.680342423,-73.9557689392,48
56,40.680356084,-73.9476791024,11
57,40.680611,-73.99475825,20
58,40.6806176846,-73.946249485,5
59,40.6809447235,-73.9756733179,20
60,40.6809591,-73.99905709,8
61,40.6809833854,-73.9500479759,43
62,40.681211700000006,-74.00860912,1
63,40.6814598,-73.934903,6
64,40.6819904427,-73.9907902479,12
65,40.68216564,-73.95399026,31
66,40.68223166,-73.9614583,98
67,40.682368700000005,-73.944118,30
68,40.682601,-73.938037,13
69,40.6827549,-73.98258555,16
70,40.6829151,-73.99318208,20
71,40.6830456,-74.00348559,6
72,40.683048,-73.964915,174
73,40.683116399999996,-73.99785267,20
74,40.68312489,-73.97895137,66
75,40.68382604,-73.97632328,60
76,40.684020000000004,-73.94977,40
77,40.68415748,-73.96922273,106
78,40.6843549,-73.98901629,17
79,40.684568299999995,-73.95881081,30
80,40.684751399999996,-73.99917254,5
81,40.68488,-73.96304,39
82,40.6849668,-73.98620772,38
83,40.6849894,-73.99440329,6
84,40.6850680731,-73.977907598,20
85,40.6851443,-73.95380904,39
86,40.6851532,-73.94111,16
87,40.6851595999,-73.9771136642,23
88,40.6853761,-73.98302136,21
89,40.68539567,-73.97431458,46
90,40.6859296,-74.00242364,3
91,40.686175799999994,-73.99645295,15
92,40.686203000000006,-73.944694,19
93,40.686312,-73.935775,10
94,40.686371,-73.99383324,16
95,40.686444200000004,-73.98759104,8
96,40.68650065,-73.96563307,70
97,40.686744299999994,-73.99063168,38
98,40.68676793,-73.95928168,64
99,40.68683208,-73.9796772,12
100,40.68691865,-73.976682,83
101,40.68753406,-73.97265183,99
102,40.68763155,-74.0016256,3
103,40.68764484,-73.96968902,91
104,40.68807003,-73.98410637,54
105,40.6881529,-73.99520919,12
106,40.688226,-73.979382,32
107,40.68833370000001,-73.950916,17
108,40.68851534,-73.9647628,71
109,40.68900443,-73.96023854,126
110,40.68926942,-73.98912867,76
111,40.68940747,-73.96885458,99
112,40.6894932,-73.942061,15
113,40.6896218879,-73.9830426872,21
114,40.68981035,-73.97493121,48
115,40.689888,-73.981013,40
116,40.6900815,-73.94791500000001,17
117,40.6902375,-73.99203074,49
118,40.6906495,-73.95643107,16
119,40.69072549,-73.95133465,15
120,40.69089272,-73.99612349,75
121,40.6910292568,-73.99183362720001,86
122,40.69128258,-73.9452416,21
123,40.69165183,-73.99997859999999,42
124,40.6917823,-73.97372990000001,152
125,40.69196035,-73.96536851,101
126,40.69196566,-73.9813018,46
127,40.69221589,-73.9842844,35
128,40.69236178,-73.98631746,54
129,40.69237074,-73.93705428,26
130,40.69239502,-73.99337909,41
131,40.69308257,-73.97178913,162
132,40.693261,-73.968896,164
133,40.69327018,-73.97703874,30
134,40.69331716,-73.95381995,43
135,40.693398200000004,-73.939877,4
136,40.69363137,-73.96223558,50
137,40.69383,-73.990539,3
138,40.69425403,-73.94626915,16
139,40.6942811414,-73.99230033159999,20
140,40.694528000000005,-73.958089,13
141,40.69474881,-73.98362464,64
