,O_date,Event_type,O_hour,Count,date,temperature,precipitation,weekday,O_month,season
0,2016-01-01,no-event,17,1,2016-01-01,38.0,0.0,True,1,1
1,2016-01-01,no-event,19,1,2016-01-01,38.0,0.0,True,1,1
2,2016-01-01,no-event,20,1,2016-01-01,38.0,0.0,True,1,1
3,2016-01-02,basketball,16,1,2016-01-02,51.5,0.01,False,1,1
4,2016-01-02,basketball,18,1,2016-01-02,51.5,0.01,False,1,1
5,2016-01-02,basketball,23,1,2016-01-02,51.5,0.01,False,1,1
6,2016-01-03,no-event,20,1,2016-01-03,45.5,0.0,False,1,1
7,2016-01-03,no-event,22,1,2016-01-03,45.5,0.0,False,1,1
8,2016-01-04,basketball,16,1,2016-01-04,70.0,0.02,True,1,1
9,2016-01-04,basketball,17,1,2016-01-04,70.0,0.02,True,1,1
10,2016-01-04,basketball,22,1,2016-01-04,70.0,0.02,True,1,1
11,2016-01-04,basketball,23,1,2016-01-04,70.0,0.02,True,1,1
12,2016-01-05,no-event,17,1,2016-01-05,48.0,0.16,True,1,1
13,2016-01-05,no-event,18,1,2016-01-05,48.0,0.16,True,1,1
14,2016-01-05,no-event,19,1,2016-01-05,48.0,0.16,True,1,1
15,2016-01-05,no-event,20,1,2016-01-05,48.0,0.16,True,1,1
16,2016-01-06,basketball,18,1,2016-01-06,74.5,0.0,True,1,1
17,2016-01-06,basketball,20,1,2016-01-06,74.5,0.0,True,1,1
18,2016-01-06,basketball,23,1,2016-01-06,74.5,0.0,True,1,1
19,2016-01-07,no-event,17,1,2016-01-07,72.5,0.83,True,1,1
20,2016-01-07,no-event,23,1,2016-01-07,72.5,0.83,True,1,1
21,2016-01-08,basketball,18,1,2016-01-08,74.5,0.0,True,1,1
22,2016-01-08,basketball,19,1,2016-01-08,74.5,0.0,True,1,1
23,2016-01-08,basketball,22,1,2016-01-08,74.5,0.0,True,1,1
24,2016-01-09,no-event,16,1,2016-01-09,74.0,0.5,False,1,1
25,2016-01-09,no-event,18,1,2016-01-09,74.0,0.5,False,1,1
26,2016-01-09,no-event,20,1,2016-01-09,74.0,0.5,False,1,1
27,2016-01-09,no-event,21,1,2016-01-09,74.0,0.5,False,1,1
28,2016-01-09,no-event,22,1,2016-01-09,74.0,0.5,False,1,1
29,2016-01-10,no-event,22,1,2016-01-10,59.0,0.0,False,1,1
30,2016-01-11,basketball,18,1,2016-01-11,49.0,0.0,True,1,1
31,2016-01-11,basketball,23,1,2016-01-11,49.0,0.0,True,1,1
32,2016-01-12,no-event,21,1,2016-01-12,48.0,0.07,True,1,1
33,2016-01-13,basketball,19,1,2016-01-13,26.0,0.0,True,1,1
34,2016-01-13,basketball,20,1,2016-01-13,26.0,0.0,True,1,1
35,2016-01-13,basketball,21,1,2016-01-13,26.0,0.0,True,1,1
36,2016-01-13,basketball,23,1,2016-01-13,26.0,0.0,True,1,1
37,2016-01-14,no-event,17,1,2016-01-14,30.0,0.0,True,1,1
38,2016-01-14,no-event,22,1,2016-01-14,30.0,0.0,True,1,1
39,2016-01-15,basketball,17,1,2016-01-15,42.5,0.0,True,1,1
40,2016-01-15,basketball,18,1,2016-01-15,42.5,0.0,True,1,1
41,2016-01-15,basketball,23,1,2016-01-15,42.5,0.0,True,1,1
