,Unnamed: 0,EventID,Event_type,Name,Start_Time,Start_Hour,End_Time,End_Hour,weekday
41,128,616000000000000,basketball,Brooklyn Nets vs. Cleveland Cavaliers,2016-03-24 19:30:00,19,2016-03-24 21:30:00,21,True
42,127,1610000000000000,concert,Katt Williams: Conspiracy Theory,2016-03-25 20:00:00,20,2016-03-25 23:00:00,23,True
43,126,906000000000000,basketball,Brooklyn Nets vs. Indiana Pacers,2016-03-26 18:00:00,18,2016-03-26 20:00:00,20,False
44,125,1490000000000000,concert,Rihanna: Anti World Tour 2016,2016-03-27 19:30:00,19,2016-03-27 22:30:00,22,False
45,124,924000000000000,boxing,WWE Monday Night RAW,2016-03-28 18:30:00,18,2016-03-28 19:30:00,19,True
46,123,1640000000000000,concert,Rihanna: Anti World Tour 2016,2016-03-30 19:30:00,19,2016-03-30 22:30:00,22,True
48,121,1550000000000000,other,Rock and Roll Hall of Fame Induction Ceremony 2016,2016-04-08 19:00:00,19,2016-04-08 22:00:00,22,True
49,120,450000000000000,basketball,Brooklyn Nets vs. Washington Wizards,2016-04-11 19:30:00,19,2016-04-11 21:30:00,21,True
50,119,1560000000000000,concert,Duran Duran: The Paper Gods Tour with Chic featuring Nile Rodgers,2016-04-12 19:00:00,19,2016-04-12 21:00:00,21,True
51,118,1690000000000000,basketball,Brooklyn Nets vs. Toronto Raptors,2016-04-13 20:00:00,20,2016-04-13 22:00:00,22,True
53,116,482000000000000,boxing,Premier Boxing Champions: Errol Spence Jr. V Chris Algieri,2016-04-16 18:00:00,18,2016-04-16 19:00:00,19,False
54,115,1690000000000000,boxing,Daily News Golden Gloves,2016-04-17 20:00:00,20,2016-04-17 21:00:00,21,False
55,114,983000000000000,concert,Bruce Springsteen and the E Street Band: The River Tour,2016-04-23 19:30:00,19,2016-04-23 22:30:00,22,False
56,113,1530000000000000,concert,Bruce Springsteen and the E Street Band: The River Tour,2016-04-25 19:30:00,19,2016-04-25 22:30:00,22,True
57,112,1720000000000000,concert,Justin Bieber: Purpose World Tour,2016-05-04 19:30:00,19,2016-05-04 22:30:00,22,True
58,111,1680000000000000,concert,Justin Bieber: Purpose World Tour,2016-05-05 19:30:00,19,2016-05-05 22:30:00,22,True
59,110,1690000000000000,other,Martin Lawrence,2016-05-14 20:00:00,20,2016-05-14 21:00:00,21,False
60,109,534000000000000,concert,The 1975,2016-05-17 20:00:00,20,2016-05-17 23:00:00,23,True
61,108,1560000000000000,concert,Bad Boy Family Reunion,2016-05-20 20:00:00,20,2016-05-20 23:00:00,23,True
62,107,130000000000000,concert,Bad Boy Family Reunion,2016-05-21 20:00:00,20,2016-05-21 23:00:00,23,False
63,106,471000000000000,concert,Selena Gomez,2016-06-01 19:30:00,19,2016-06-01 22:30:00,22,True
64,105,173000000000000,concert,Florence and the Machine: How Beautiful Tour,2016-06-14 19:30:00,19,2016-06-14 22:30:00,22,True
65,104,1650000000000000,concert,Florence and the Machine: How Beautiful Tour,2016-06-15 19:30:00,19,2016-06-15 22:30:00,22,True
66,103,506000000000000,boxing,Premier Boxing Champions: Keith Thurman V. Shawn Porter,2016-06-25 17:40:00,17,2016-06-25 18:40:00,18,False
67,102,513000000000000,basketball,Roc Nation Summer Classic Charity Basketball Game,2016-07-21 20:00:00,20,2016-07-21 22:00:00,22,True
68,101,1670000000000000,concert,One Africa Music Fest,2016-07-22 19:30:00,19,2016-07-22 22:30:00,22,True
70,99,1620000000000000,concert,Barbra Streisand,2016-08-11 20:00:00,20,2016-08-11 23:00:00,23,True
71,98,1220000000000000,concert,Barbra Streisand,2016-08-13 20:00:00,20,2016-08-13 23:00:00,23,False
72,97,292000000000000,concert,Flo Rida,2016-08-18 19:00:00,19,2016-08-18 22:00:00,22,True
77,92,1610000000000000,other,NXT TakeOver: Brooklyn II,2016-08-20 19:30:00,19,2016-08-20 20:30:00,20,False
78,91,700000000000000,boxing,WWE SummerSlam,2016-08-21 18:00:00,18,2016-08-21 19:00:00,19,False
79,90,199000000000000,concert,Prophets of Rage - Make America Rage Again Tour,2016-08-27 19:00:00,19,2016-08-27 22:00:00,22,False
80,89,1690000000000000,other,TFC Presents ASAP Live in NY,2016-09-03 17:00:00,17,2016-09-03 20:00:00,20,False
81,88,514000000000000,family,TORUK - The First Flight,2016-09-07 19:30:00,19,2016-09-07 21:30:00,21,True
82,87,783000000000000,family,TORUK - The First Flight,2016-09-08 19:30:00,19,2016-09-08 21:30:00,21,True
84,85,1010000000000000,family,TORUK - The First Flight,2016-09-09 19:30:00,19,2016-09-09 21:30:00,21,True
86,83,551000000000000,family,TORUK - The First Flight,2016-09-10 20:00:00,20,2016-09-10 22:00:00,22,False
88,81,1830000000000000,family,TORUK - The First Flight,2016-09-11 17:30:00,17,2016-09-11 19:30:00,19,False
89,80,1110000000000000,hockey,New York Islanders vs. Philadelphia Flyers,2016-09-26 19:00:00,19,2016-09-26 21:00:00,21,True
90,79,1730000000000000,hockey,New York Islanders vs. New Jersey Devils,2016-10-03 19:00:00,19,2016-10-03 21:00:00,21,True
91,78,545000000000000,concert,EROS RAMAZZOTTI WORLD TOUR 2016,2016-10-05 20:00:00,20,2016-10-05 23:00:00,23,True
92,77,185000000000000,basketball,Brooklyn Nets vs. Detroit Pistons,2016-10-06 19:30:00,19,2016-10-06 21:30:00,21,True
93,76,507000000000000,concert,Blake Shelton: Presented by GildanÂ®,2016-10-07 19:30:00,19,2016-10-07 22:30:00,22,True
94,75,343000000000000,concert,Blake Shelton: Presented by GildanÂ®,2016-10-08 19:30:00,19,2016-10-08 22:30:00,22,False
95,74,1540000000000000,concert,Juan Gabriel,2016-10-09 19:00:00,19,2016-10-09 22:00:00,22,False
96,73,777000000000000,concert,Drake: Summer Sixteen Tour,2016-10-11 18:30:00,18,2016-10-11 21:30:00,21,True
97,72,970000000000000,concert,Drake: Summer Sixteen Tour,2016-10-12 18:30:00,18,2016-10-12 21:30:00,21,True
98,71,520000000000000,basketball,Brooklyn Nets vs. Boston Celtics,2016-10-13 19:30:00,19,2016-10-13 21:30:00,21,True
99,70,302000000000000,other,TIDAL X 1015,2016-10-15 20:00:00,20,2016-10-15 23:00:00,23,False
100,69,1750000000000000,hockey,New York Islanders V Anaheim Ducks (Magnetic Schedule & T-Shirt),2016-10-16 18:00:00,18,2016-10-16 20:00:00,20,False
101,68,872000000000000,hockey,New York Islanders V San Jose Sharks,2016-10-18 19:00:00,19,2016-10-18 21:00:00,21,True
102,67,161000000000000,basketball,Brooklyn Nets vs. New York Knicks,2016-10-20 19:30:00,19,2016-10-20 21:30:00,21,True
103,66,624000000000000,hockey,New York Islanders V Arizona Coyotes (Rally Towel Giveaway),2016-10-21 19:00:00,19,2016-10-21 21:00:00,21,True
104,65,159000000000000,boxing,Masters of Ceremony,2016-10-22 20:00:00,20,2016-10-22 21:00:00,21,False
105,64,297000000000000,hockey,New York Islanders V Minnesota Wild,2016-10-23 18:00:00,18,2016-10-23 20:00:00,20,False
