,tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,startdate,stopdate,Event_type,End_Time,E_Time,TripStartHM,EventEndHM
0,397,21:51:17,21:57:54,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,365,Fulton St & Grand Ave,40.68223166,-73.9614583,14918,Subscriber,1970.0,1,2016-01-01,2016-01-01,,2017-12-05 21:00:00,21:00:00,21.85,21.0
1,621,21:54:07,22:04:28,467,Dean St & 4 Ave,40.68312489,-73.97895137,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,24325,Subscriber,1975.0,1,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.9,21.0
2,701,21:56:10,22:07:52,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,392,Jay St & Tech Pl,40.695065,-73.987167,23767,Customer,,0,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.9333333333,21.0
3,694,21:56:13,22:07:48,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,392,Jay St & Tech Pl,40.695065,-73.987167,15797,Customer,,0,2016-01-03,2016-01-03,,2017-12-05 21:00:00,21:00:00,21.9333333333,21.0
4,257,21:39:17,21:43:35,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,262,Washington Park,40.6917823,-73.9737299,16873,Subscriber,1976.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,21.65,21.5
5,583,21:57:47,22:07:30,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,22052,Subscriber,1992.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,21.95,21.5
6,373,22:27:11,22:33:24,467,Dean St & 4 Ave,40.68312489,-73.97895137,239,Willoughby St & Fleet St,40.69196566,-73.9813018,22000,Subscriber,1989.0,1,2016-01-04,2016-01-04,basketball,2016-01-04 21:30:00,21:30:00,22.45,21.5
7,690,21:12:22,21:23:52,467,Dean St & 4 Ave,40.68312489,-73.97895137,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,23405,Subscriber,1987.0,1,2016-01-05,2016-01-05,,2017-12-05 21:00:00,21:00:00,21.2,21.0
8,796,21:35:14,21:48:31,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,3042,Fulton St & Utica Ave,40.6794268,-73.9298911,21652,Subscriber,1963.0,1,2016-01-05,2016-01-05,,2017-12-05 21:00:00,21:00:00,21.5833333333,21.0
9,225,21:40:49,21:44:35,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,19133,Subscriber,1969.0,1,2016-01-06,2016-01-06,basketball,2016-01-06 21:30:00,21:30:00,21.6666666667,21.5
10,1513,21:48:27,22:13:40,467,Dean St & 4 Ave,40.68312489,-73.97895137,3087,Metropolitan Ave & Meeker Ave,40.71413311,-73.95234386,22141,Subscriber,1990.0,2,2016-01-06,2016-01-06,basketball,2016-01-06 21:30:00,21:30:00,21.8,21.5
11,1288,22:05:01,22:26:29,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,373,Willoughby Ave & Walworth St,40.69331716,-73.95381995,20218,Subscriber,1965.0,1,2016-01-06,2016-01-06,basketball,2016-01-06 21:30:00,21:30:00,22.0833333333,21.5
12,693,21:04:47,21:16:21,467,Dean St & 4 Ave,40.68312489,-73.97895137,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,15173,Subscriber,1975.0,1,2016-01-07,2016-01-07,,2017-12-05 21:00:00,21:00:00,21.0666666667,21.0
13,1699,21:36:06,22:04:25,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,437,Macon St & Nostrand Ave,40.6809833854,-73.9500479759,14590,Subscriber,1983.0,1,2016-01-07,2016-01-07,,2017-12-05 21:00:00,21:00:00,21.6,21.0
14,567,21:36:56,21:46:24,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,278,Concord St & Bridge St,40.69766564,-73.98476437,22445,Subscriber,1981.0,1,2016-01-07,2016-01-07,,2017-12-05 21:00:00,21:00:00,21.6,21.0
15,560,21:37:20,21:46:40,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,278,Concord St & Bridge St,40.69766564,-73.98476437,20700,Subscriber,1985.0,2,2016-01-07,2016-01-07,,2017-12-05 21:00:00,21:00:00,21.6166666667,21.0
16,304,21:42:33,21:47:37,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,395,Bond St & Schermerhorn St,40.68807003,-73.98410637,23603,Subscriber,1982.0,1,2016-01-07,2016-01-07,,2017-12-05 21:00:00,21:00:00,21.7,21.0
17,524,21:43:32,21:52:16,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,17263,Subscriber,1981.0,1,2016-01-07,2016-01-07,,2017-12-05 21:00:00,21:00:00,21.7166666667,21.0
18,567,21:45:59,21:55:27,353,S Portland Ave & Hanson Pl,40.68539567,-73.97431458,3229,Marcy Ave & MacDonough St,40.6806176846,-73.946249485,15441,Subscriber,1989.0,1,2016-01-07,2016-01-07,,2017-12-05 21:00:00,21:00:00,21.75,21.0
19,366,21:51:10,21:57:16,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,262,Washington Park,40.6917823,-73.9737299,15138,Subscriber,1987.0,1,2016-01-07,2016-01-07,,2017-12-05 21:00:00,21:00:00,21.85,21.0
20,643,21:55:57,22:06:41,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,314,Cadman Plaza West & Montague St,40.69383,-73.990539,18691,Customer,,0,2016-01-08,2016-01-08,basketball,2016-01-08 21:30:00,21:30:00,21.9166666667,21.5
21,648,21:56:02,22:06:50,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,314,Cadman Plaza West & Montague St,40.69383,-73.990539,14533,Customer,,0,2016-01-08,2016-01-08,basketball,2016-01-08 21:30:00,21:30:00,21.9333333333,21.5
22,304,22:18:03,22:23:08,467,Dean St & 4 Ave,40.68312489,-73.97895137,241,DeKalb Ave & S Portland Ave,40.68981035,-73.97493121,23657,Subscriber,1958.0,1,2016-01-08,2016-01-08,basketball,2016-01-08 21:30:00,21:30:00,22.3,21.5
23,1392,22:20:15,22:43:27,467,Dean St & 4 Ave,40.68312489,-73.97895137,389,Broadway & Berry St,40.71044554,-73.96525063,24080,Subscriber,1989.0,1,2016-01-08,2016-01-08,basketball,2016-01-08 21:30:00,21:30:00,22.3333333333,21.5
24,916,21:41:33,21:56:49,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,365,Fulton St & Grand Ave,40.68223166,-73.9614583,20993,Subscriber,1971.0,1,2016-01-09,2016-01-09,,2017-12-05 21:00:00,21:00:00,21.6833333333,21.0
25,1322,21:47:29,22:09:32,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,24190,Subscriber,1989.0,1,2016-01-09,2016-01-09,,2017-12-05 21:00:00,21:00:00,21.7833333333,21.0
26,670,21:09:44,21:20:55,467,Dean St & 4 Ave,40.68312489,-73.97895137,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,16632,Subscriber,1976.0,1,2016-01-10,2016-01-10,,2017-12-05 21:00:00,21:00:00,21.15,21.0
27,546,21:56:29,22:05:35,467,Dean St & 4 Ave,40.68312489,-73.97895137,3048,Putnam Ave & Nostrand Ave,40.68402,-73.94977,23779,Subscriber,1975.0,1,2016-01-10,2016-01-10,,2017-12-05 21:00:00,21:00:00,21.9333333333,21.0
28,417,21:46:40,21:53:37,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,120,Lexington Ave & Classon Ave,40.68676793,-73.95928168,19922,Subscriber,1979.0,1,2016-01-11,2016-01-11,basketball,2016-01-11 21:30:00,21:30:00,21.7666666667,21.5
29,288,22:13:23,22:18:11,467,Dean St & 4 Ave,40.68312489,-73.97895137,416,Cumberland St & Lafayette Ave,40.68753406,-73.97265183,23514,Subscriber,1984.0,1,2016-01-11,2016-01-11,basketball,2016-01-11 21:30:00,21:30:00,22.2166666667,21.5
30,335,21:33:01,21:38:36,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,420,Clermont Ave & Lafayette Ave,40.68764484,-73.96968902,16765,Subscriber,1981.0,1,2016-01-12,2016-01-12,,2017-12-05 21:00:00,21:00:00,21.55,21.0
31,481,21:33:45,21:41:46,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,366,Clinton Ave & Myrtle Ave,40.693261,-73.968896,17679,Subscriber,1968.0,1,2016-01-12,2016-01-12,,2017-12-05 21:00:00,21:00:00,21.55,21.0
32,393,21:38:48,21:45:21,83,Atlantic Ave & Fort Greene Pl,40.68382604,-73.97632328,245,Myrtle Ave & St Edwards St,40.69327018,-73.97703874,17230,Subscriber,1968.0,1,2016-01-12,2016-01-12,,2017-12-05 21:00:00,21:00:00,21.6333333333,21.0
