,start station id,start station name,start station latitude,start station longitude,Coordinates
954,526,E 33 St & 5 Ave,40.74765947,-73.98490707,"(40.747659470000002, -73.984907070000006)"
47,527,E 33 St & 2 Ave,40.744023,-73.976056,"(40.744022999999999, -73.976056)"
265,528,2 Ave & E 31 St,40.74290902,-73.97706058,"(40.742909019999999, -73.97706058)"
223,529,W 42 St & 8 Ave,40.75756989999999,-73.99098507,"(40.757569899999993, -73.990985069999994)"
515,530,11 Ave & W 59 St,40.771522,-73.99054100000001,"(40.771521999999997, -73.990541000000007)"
6,531,Forsyth St & Broome St,40.71893904,-73.99266288,"(40.718939040000002, -73.992662879999997)"
681,532,S 5 Pl & S 4 St,40.710451,-73.960876,"(40.710450999999999, -73.960875999999999)"
512,533,Broadway & W 39 St,40.75299641,-73.98721619,"(40.752996410000002, -73.987216189999998)"
403,534,Water - Whitehall Plaza,40.70255065,-74.0127234,"(40.702550649999999, -74.012723399999999)"
42,536,1 Ave & E 30 St,40.74144387,-73.97536082,"(40.741443869999998, -73.975360820000006)"
26,537,Lexington Ave & E 24 St,40.74025878,-73.98409214,"(40.740258779999998, -73.984092140000001)"
645,539,Metropolitan Ave & Bedford Ave,40.71534825,-73.96024116,"(40.715348249999998, -73.960241159999995)"
246,540,Lexington Ave & E 29 St,40.74311555376486,-73.98215353488922,"(40.743115553764859, -73.982153534889221)"
90,545,E 23 St & 1 Ave,40.736502,-73.97809472,"(40.736502000000002, -73.978094720000001)"
430,546,E 30 St & Park Ave S,40.74444921,-73.98303529,"(40.744449209999999, -73.983035290000004)"
1160,2000,Front St & Washington St,40.70255088,-73.98940236,"(40.702550879999997, -73.98940236)"
8881,2001,Sands St & Navy St,40.699773,-73.979927,"(40.699773, -73.979927000000004)"
116,2002,Wythe Ave & Metropolitan Ave,40.716887,-73.96319799999999,"(40.716887, -73.963197999999991)"
310,2003,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,"(40.733812191966322, -73.9805442094803)"
362,2004,6 Ave & Broome St,40.724399,-74.004704,"(40.724398999999998, -74.004704000000004)"
8857,2005,Railroad Ave & Kay Ave,40.70531194,-73.97100056,"(40.705311940000001, -73.971000559999993)"
142,2006,Central Park S & 6 Ave,40.76590936,-73.97634151,"(40.765909360000002, -73.976341509999997)"
163,2008,Little West St & 1 Pl,40.70569254,-74.01677685,"(40.705692540000001, -74.016776849999999)"
2103,2009,Catherine St & Monroe St,40.71117444,-73.99682619,"(40.711174440000001, -73.996826189999993)"
49,2010,Grand St & Greene St,40.72165481,-74.00234737,"(40.721654809999997, -74.002347369999995)"
177,2012,E 27 St & 1 Ave,40.739445,-73.97680600000001,"(40.739445000000003, -73.97680600000001)"
3333,2017,E 43 St & 2 Ave,40.75022392,-73.97121414,"(40.750223920000003, -73.971214140000001)"
31,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,"(40.759291240000003, -73.988596509999994)"
3092,2022,E 60 St & York Ave,40.759107,-73.959223,"(40.759107, -73.959222999999994)"
4611,2023,E 55 St & Lexington Ave,40.75968085,-73.97031366,"(40.759680850000002, -73.970313660000002)"
180,3002,South End Ave & Liberty St,40.711512,-74.01575600000001,"(40.711511999999999, -74.01575600000001)"
334,3016,Kent Ave & N 7 St,40.72036775298455,-73.96165072917937,"(40.720367752984551, -73.961650729179368)"
575096,3036,8D OPS 01,40.684868747593924,-74.02544975280763,"(40.684868747593924, -74.025449752807631)"
135780,3040,SSP Tech Workshop,40.646678,-74.016263,"(40.646678000000001, -74.016262999999995)"
7135,3041,Kingston Ave & Herkimer St,40.67890679,-73.94142771,"(40.678906789999999, -73.941427709999999)"
179,3042,Fulton St & Utica Ave,40.6794268,-73.92989109999999,"(40.679426800000002, -73.929891099999992)"
5668,3043,Lewis Ave & Decatur St,40.6814598,-73.934903,"(40.681459799999999, -73.934903000000006)"
6652,3044,Albany Ave & Fulton St,40.6800105,-73.938475,"(40.680010500000002, -73.938474999999997)"
1646,3046,Marcus Garvey Blvd & Macon St,40.682601,-73.938037,"(40.682600999999998, -73.938036999999994)"
6678,3047,Halsey St & Tompkins Ave,40.682368700000005,-73.944118,"(40.682368700000005, -73.944118000000003)"
2844,3048,Putnam Ave & Nostrand Ave,40.684020000000004,-73.94977,"(40.684020000000004, -73.949770000000001)"
392,3049,Cambridge Pl & Gates Ave,40.68488,-73.96304,"(40.68488, -73.963040000000007)"
3581,3050,Putnam Ave & Throop Ave,40.6851532,-73.94111,"(40.685153200000002, -73.941109999999995)"
1667,3052,Lewis Ave & Madison St,40.686312,-73.935775,"(40.686312000000001, -73.935775000000007)"
834,3053,Marcy Ave & Lafayette Ave,40.6900815,-73.94791500000001,"(40.690081499999998, -73.947915000000009)"
2658,3054,Greene Ave & Throop Ave,40.6894932,-73.942061,"(40.689493200000001, -73.942060999999995)"
413,3055,Greene Ave & Nostrand Ave,40.68833370000001,-73.950916,"(40.688333700000008, -73.950916000000007)"
7326,3056,Kosciuszko St & Nostrand Ave,40.69072549,-73.95133465,"(40.690725489999998, -73.951334650000007)"
850,3057,Kosciuszko St & Tompkins Ave,40.69128258,-73.9452416,"(40.691282579999999, -73.945241600000003)"
1737,3058,Lewis Ave & Kosciuszko St,40.69237074,-73.93705428,"(40.692370740000001, -73.937054279999998)"
6167,3059,Pulaski St & Marcus Garvey Blvd,40.693398200000004,-73.939877,"(40.693398200000004, -73.939876999999996)"
73,3060,Willoughby Ave & Tompkins Ave,40.69425403,-73.94626915,"(40.694254030000003, -73.946269150000006)"
3430,3061,Throop Ave & Myrtle Ave,40.69622937,-73.94371094,"(40.696229369999998, -73.943710940000003)"
538,3062,Myrtle Ave & Marcy Ave,40.69539817,-73.94954908,"(40.695398169999997, -73.949549079999997)"
1807,3063,Nostrand Ave & Myrtle Ave,40.69527008,-73.95238108,"(40.69527008, -73.952381079999995)"
178,3064,Myrtle Ave & Lewis Ave,40.69681963,-73.93756926,"(40.69681963, -73.937569260000004)"
1428,3065,Union Ave & Wallabout St,40.70029511,-73.95032283,"(40.700295109999999, -73.950322830000005)"
9974,3066,Tompkins Ave & Hopkins St,40.69957608,-73.94708417,"(40.69957608, -73.947084169999997)"
650,3067,Broadway & Whipple St,40.7016657,-73.9437303,"(40.7016657, -73.943730299999999)"
165,3068,Humboldt St & Varet St,40.7031724,-73.940636,"(40.7031724, -73.940635999999998)"
7297,3069,Lorimer St & Broadway,40.70411791,-73.94818595,"(40.704117910000001, -73.948185949999996)"
4054,3070,McKibbin St & Manhattan Ave,40.70510918,-73.94407279,"(40.705109180000001, -73.944072790000007)"
6232,3071,Boerum St & Broadway,40.70538077,-73.94976519,"(40.705380769999998, -73.949765189999994)"
1326,3072,Leonard St & Boerum St,40.70583339,-73.94644578,"(40.705833390000002, -73.946445780000005)"
374,3073,Division Ave & Hooper St,40.70691254,-73.95441667,"(40.706912539999998, -73.954416670000001)"
248,3074,Montrose Ave & Bushwick Ave,40.70767788,-73.94016171,"(40.707677879999999, -73.940161709999998)"
13932,3075,Division Ave & Marcy Ave,40.70708701,-73.95796783,"(40.707087010000002, -73.957967830000001)"
1595,3076,Scholes St & Manhattan Ave,40.70870368,-73.9448625,"(40.708703679999999, -73.944862499999999)"
